pmid,year,title,journal,screen_reason,url
41919639,2026,High-Speed Detection of X-ray Pulses Using a Digital Counter Coupled with Perovskite Composite Scintillators.,ACS applied materials & interfaces,off-topic title subject: perovskite,https://pubmed.ncbi.nlm.nih.gov/41919639/
41889418,2026,Novel use of peak optimized particle therapy for the delivery of three-dimensional spatially fractionated radiotherapy.,Frontiers in oncology,"spatially fractionated RT, not UHDR: spatially fractionat",https://pubmed.ncbi.nlm.nih.gov/41889418/
41883889,2026,"Timing and Resolution of Bothersome Hot Flashes Following Short Course Oral Gonadotropin-Releasing Hormone Receptor Antagonist Relugolix, and Stereotactic Body Radiotherapy for Localized Prostate Cancer.",Cureus,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/41883889/
41773713,2026,"Dosimetric effects of internal margin, auto flash, and virtual bolus in VMAT-based whole-breast radiotherapy under motion variations.",Journal of applied clinical medical physics,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/41773713/
41713287,2026,Oxalic acid alters electron-transfer chain reactions of photoexcited humic acid and generates both oxidative/reductive radicals.,Water research,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/41713287/
41712863,2026,Concentration-Dependent Kinetics of Micropollutant Oxidation: Revealing the Hidden Role of Long-Lived Reactive Species.,Environmental science & technology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/41712863/
41658581,2026,Editorial: Innovative approaches in precision radiation oncology.,Frontiers in medicine,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41658581/
41656965,2026,Optimizing breast and chest wall treatment planning: Integrating dynamic collimator rotation with static-angle modulated ports in VMAT radiotherapy.,Journal of applied clinical medical physics,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/41656965/
41571671,2026,Ultrathin liquid cells for microsecond time-resolved cryo-EM.,Nature communications,off-topic title subject: cryo-em,https://pubmed.ncbi.nlm.nih.gov/41571671/
41522860,2026,Metal-free visible-light carbonylation of alkyl iodides to amides via consecutive photoinduced electron transfer.,Chemical science,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/41522860/
41494443,2026,A combination of High-Pitch turbo FLASH mode and iterative Beam-Hardening correction in cranial computed tomography Facilitates acute small subdural hematoma visualization.,European journal of radiology,MR/CT imaging 'FLASH': High-Pitch,https://pubmed.ncbi.nlm.nih.gov/41494443/
41490961,2026,Assessing the feasibility of quantitative SPECT imaging for low 212Pb activity concentrations using anthropomorphic phantoms.,EJNMMI physics,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41490961/
41419026,2026,Large language models for toxicity extraction in oncology trials: A real-world benchmark in prostate radiotherapy.,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41419026/
41202922,2026,"""Current Use and Clinical Applications of Intraoperative Radiotherapy in Soft Tissue Sarcomas: Insights from a National Survey in Spain"".",Cirugia espanola,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41202922/
41522166,2025,Liquid nitrogen spray cryotherapy (SCT) in central airway disease: a multicenter prospective registry.,Journal of thoracic disease,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41522166/
41477291,2025,"Editorial: 2nd collection of special issue in innovations, advances, and challenges in precision radiation oncology physics.",Precision radiation oncology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41477291/
41228642,2025,Porphyrin-Based Bio-Sourced Materials for Water Depollution Under Light Exposure.,Polymers,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/41228642/
41208608,2025,Excited-State Proton Transfer in Push-Pull N-Methyl Pyridium Reversible Super-Photoacids Ruled by Intramolecular Hydrogen-Bond-Like Interactions.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/41208608/
41200838,2025,C3-Symmetric Borabuckybowl Featuring a Pyramidal-like sp2 Boron Atom for Advanced Electronics and Optical Functions.,Journal of the American Chemical Society,no radiation signal + off-topic term: borabuckybowl,https://pubmed.ncbi.nlm.nih.gov/41200838/
41174588,2025,Diagnostic ultrasound irradiation combined with microbubbles to modulate carotid body activity for the treatment of obesity-related hypertension in rabbits.,Biomedical engineering online,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/41174588/
41138687,2025,Lung cancer screening CT acquisition protocols for three generations of CT systems conforming to German legislation.,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),MR/CT imaging 'FLASH': Somatom,https://pubmed.ncbi.nlm.nih.gov/41138687/
41065312,2025,RTPhy-ChatBot: A RAG-Based intelligent assistant for radiotherapy physics using LLaMA3 and AAPM reports.,Journal of applied clinical medical physics,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41065312/
41043172,2025,Mechanistic Insights into Photocatalytic Reduction and Triplet Sensitization of 4-Azido-1-phenylbutan-1-ones to Selectively Form 2-Phenyl-1-pyrrolines.,The Journal of organic chemistry,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/41043172/
40903246,2025,[Temporal Changes in Volume CT Dose Index in Radiation Dose Management for X-ray CT Scanners].,Nihon Hoshasen Gijutsu Gakkai zasshi,MR/CT imaging 'FLASH': SOMATOM,https://pubmed.ncbi.nlm.nih.gov/40903246/
40896429,2025,Clinical decision-making for uveal melanoma radiotherapy: comparative performance of experienced radiation oncologists and leading generative AI models.,Frontiers in oncology,no ultra-high-dose-rate signature (rad signal=2),https://pubmed.ncbi.nlm.nih.gov/40896429/
40874144,2025,Photochemical reaction of 4-chlorobiphenyl with nitrous acid in atmospheric aqueous solution.,RSC advances,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/40874144/
40852772,2025,Photo-thermal Catalytic CO2 Methanation by RuOx@MIL-101(Cr) with 9.2% Apparent Quantum Yield under Visible Light Irradiation.,ACS applied materials & interfaces,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/40852772/
40772667,2025,Deep Eutectic Solvent Binder Facilitating Reaction Kinetics of Lithium Sulfur Batteries.,Angewandte Chemie (International ed. in English),off-topic title subject: lithium sulfur,https://pubmed.ncbi.nlm.nih.gov/40772667/
40749779,2025,Synchrotron Microbeam Radiation Therapy in Combination With Gold Nanoparticles Improves Control of Mouse Melanoma.,"International journal of radiation oncology, biology, physics","spatially fractionated RT, not UHDR: Microbeam",https://pubmed.ncbi.nlm.nih.gov/40749779/
40728046,2025,Cyanomethanesulfinyl Radical: Photoisomerization and Thermal Decomposition Reactions.,The journal of physical chemistry. A,off-topic title subject: photoisomeri,https://pubmed.ncbi.nlm.nih.gov/40728046/
40698312,2025,Performance evaluation of a new automated skin flash method for radiotherapy of breast cancer.,Physics and imaging in radiation oncology,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/40698312/
40677017,2025,Graphdiyne Production in a Flash: High-Yield Direct Synthesis by Electron Beam Irradiation.,"Advanced materials (Deerfield Beach, Fla.)",off-topic title subject: graphdiyne,https://pubmed.ncbi.nlm.nih.gov/40677017/
40654775,2025,Ultrathin Liquid Cells for Microsecond Time-Resolved Cryo-EM.,bioRxiv : the preprint server for biology,off-topic title subject: cryo-em,https://pubmed.ncbi.nlm.nih.gov/40654775/
40619678,2025,Preparation and Photochemistry of Hydroxy Isocyanate.,The journal of physical chemistry. A,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/40619678/
40602228,2025,Comparison of Deep Learning Models for fast and accurate dose map prediction in Microbeam Radiation Therapy.,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),"spatially fractionated RT, not UHDR: Microbeam",https://pubmed.ncbi.nlm.nih.gov/40602228/
40561642,2025,The current practice of volumetric modulated arc therapy for breast cancer in Europe - A survey by the EFOMP VMAT breast working group.,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),aperture/planning 'flash': auto flash,https://pubmed.ncbi.nlm.nih.gov/40561642/
40536317,2025,FLASH Irradiation Modulates Immune Responses and Accelerates Lung Recovery: A Single-Cell Perspective.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",off-topic sense of 'flash': light flash,https://pubmed.ncbi.nlm.nih.gov/40536317/
40503425,2025,Optimizing Breast Cancer Radiation therapy With Volumetric Modulated Arc Therapy and Skin Flash: A Case Study Using Deep Inspiration Breath Hold and Cherenkov Imaging.,Advances in radiation oncology,curator override: manually excluded,https://pubmed.ncbi.nlm.nih.gov/40503425/
40423465,2025,Overlooked Photochemical Risk of Antimicrobial Fragrances: Formation of Potent Allergens and Their Mechanistic Pathways.,Toxics,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/40423465/
40375332,2025,Feasibility study of automatic radiotherapy treatment planning for cervical cancer using a large language model.,"Radiation oncology (London, England)",no ultra-high-dose-rate signature (rad signal=2),https://pubmed.ncbi.nlm.nih.gov/40375332/
40354177,2025,Secondhand Exposure to Simulated Cannabis Vaping Aerosols.,Environmental science & technology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/40354177/
40305916,2025,Photochemical transformation of the uricosuric drug benzbromarone in aqueous solutions exposed to UV irradiation.,Water research,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/40305916/
40263410,2025,Three-dimensional bioprinted in vitro glioma tumor constructs for synchrotron microbeam radiotherapy dosimetry and biological study using gelatin methacryloyl hydrogel.,Scientific reports,"spatially fractionated RT, not UHDR: microbeam",https://pubmed.ncbi.nlm.nih.gov/40263410/
40230284,2025,Selective and local flash-annealing for improvement in the contact characteristics of MoS2 transistors.,Nanoscale,no radiation signal + off-topic term: flash-anneal,https://pubmed.ncbi.nlm.nih.gov/40230284/
40195824,2025,Strain-Assisted Large-Scale 1T-MoS2 Synthesis and its Optical Synaptic Flash Memory Application.,Small methods,off-topic sense of 'flash': flash memory,https://pubmed.ncbi.nlm.nih.gov/40195824/
40086170,2025,Comparison of radiation dose and image quality for abdominal CT exams using photon-counting and energy-integrating CT: A self-controlled study including optimized patient positioning.,"Radiography (London, England : 1995)",MR/CT imaging 'FLASH': Somatom,https://pubmed.ncbi.nlm.nih.gov/40086170/
40080416,2025,Photoinduced Electron Transfer in Ruthenium-Polypyridyl-Modified Laccases: Probing Pathways From the Surface to the Metal Centers.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/40080416/
40062441,2025,A robust planning approach for respiratory motion in accelerated partial breast irradiation using volumetric modulated arc therapy.,Journal of radiation research,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/40062441/
40012189,2025,Temperature-Dependent Photoreactivity of 2-Azidomethylbenzophenone: Insights into the Triplet Imine Biradical Pathway.,The Journal of organic chemistry,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/40012189/
39985086,2025,Automatic skin flash optimization in breast and chestwall VMAT with static angle modulated ports: Effect of HU and flash margin size on plan quality and robustness.,Journal of applied clinical medical physics,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/39985086/
39936586,2025,"Assessment of Challenging Oncologic Cases: A Comparative Analysis Between ChatGPT, Gemini, and a Multidisciplinary Tumor Board.",Journal of surgical oncology,no ultra-high-dose-rate signature (rad signal=2),https://pubmed.ncbi.nlm.nih.gov/39936586/
39704603,2025,Lignin Derivative as Visible-Light Photo-Initiating System for the Development of Biocide Materials under Light Irradiation.,Macromolecular rapid communications,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39704603/
39696783,2025,Pushing the boundaries of radiotherapy-immunotherapy combinations: highlights from the 7th immunorad conference.,Oncoimmunology,no ultra-high-dose-rate signature (rad signal=2),https://pubmed.ncbi.nlm.nih.gov/39696783/
39687472,2025,The Impact of Synchrotron Microbeam Radiation Therapy Combined With Broad Beam in a Preclinical Breast Cancer Model.,Advances in radiation oncology,"spatially fractionated RT, not UHDR: Microbeam",https://pubmed.ncbi.nlm.nih.gov/39687472/
39676056,2025,Luminescence and Generation of Reactive Oxygen Species in Solution by Ta6Br12 Clusters.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39676056/
39637690,2025,Direct and indirect photolysis of oxolinic acid in surface waters and its inhibition by antioxidant effects.,Water research,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/39637690/
39629499,2025,"Flashlight-induced Ultrafast, Scalable Surface Activation of Highly Loaded Graphite Composite Anode.",Small methods,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39629499/
39442499,2025,Low-Field MRI for Dental Imaging in Pediatric Patients With Supernumerary and Ectopic Teeth: A Comparative Study of 0.55 T and Ultra-Low-Dose CT.,Investigative radiology,MR/CT imaging 'FLASH': FLASH sequence,https://pubmed.ncbi.nlm.nih.gov/39442499/
39657062,2024,Influence of Curvature on the Physical Properties and Reactivity of Triplet Corannulene Nitrene.,Journal of the American Chemical Society,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/39657062/
39596539,2024,Multi-Spectroscopic and Molecular Modeling Studies of Interactions Between Anionic Porphyrin and Human Serum Albumin.,International journal of molecular sciences,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/39596539/
39395671,2024,Transit-guided radiation therapy: a novel patient monitoring approach.,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,aperture/planning 'flash': skin-flash,https://pubmed.ncbi.nlm.nih.gov/39395671/
39390822,2024,A Near-Infrared Retinomorphic Device with High Dimensionality Reservoir Expression.,"Advanced materials (Deerfield Beach, Fla.)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39390822/
39388608,2024,ATRP with ppb Concentrations of Photocatalysts.,Journal of the American Chemical Society,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/39388608/
39372821,2024,Non-Islet-Cell Tumor Hypoglycemia Secondary to Malignant Phyllodes Tumor of the Breast.,AACE clinical case reports,off-topic sense of 'flash': flash glucose,https://pubmed.ncbi.nlm.nih.gov/39372821/
39369577,2024,Structural changes of Natronomonas pharaonis halorhodopsin in its late photocycle revealed by solid-state NMR spectroscopy.,Biophysical chemistry,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/39369577/
39343181,2024,"Enantioselectively generating imidazolone dIz by the chiral DNA intercalating and ""light-switching"" Ru(II) polypyridyl complex via a novel flash-quench method.",Free radical biology & medicine,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39343181/
39185370,2024,Laser fragmentation of amorphous and crystalline selenium of various morphologies and assessment of their antioxidant and protection properties.,Frontiers in chemistry,no ultra-high-dose-rate signature (rad signal=2),https://pubmed.ncbi.nlm.nih.gov/39185370/
39123429,2024,Neuro-Oncologic Veterinary Trial for the Clinical Transfer of Microbeam Radiation Therapy: Acute to Subacute Radiotolerance after Brain Tumor Irradiation in Pet Dogs.,Cancers,"spatially fractionated RT, not UHDR: Microbeam",https://pubmed.ncbi.nlm.nih.gov/39123429/
39110320,2024,Quantification accuracy in photon-counting detector CT for coronary artery calcium score: a pilot study.,The international journal of cardiovascular imaging,MR/CT imaging 'FLASH': high-pitch,https://pubmed.ncbi.nlm.nih.gov/39110320/
39019068,2024,Dosimetry of microbeam radiotherapy by flexible hydrogenated amorphous silicon detectors.,Physics in medicine and biology,"spatially fractionated RT, not UHDR: microbeam",https://pubmed.ncbi.nlm.nih.gov/39019068/
38993192,2024,Intensity Modulated Therapy for Patients With Breast Cancer. Practical Guidelines and Tips for an Effective Treatment Planning Strategy.,Advances in radiation oncology,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/38993192/
38927940,2024,Extracellular Vesicle- and Mitochondria-Based Targeting of Non-Small Cell Lung Cancer Response to Radiation: Challenges and Perspectives.,Cancers,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/38927940/
38904446,2024,Optical Control of TRPV1 Channels In Vitro with Tethered Photopharmacology.,ACS chemical biology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38904446/
38858982,2024,Damage effect evaluation of CCD irradiated by laser based on multi-source information fusion.,Optics express,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38858982/
38748890,2024,Unusual Photochemistry in Aromatic Dithioimides: Quantitative Thione Reduction Promoted by Ether Solvents.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/38748890/
38723444,2024,Effect of arm position on image quality and radiation dose during thorax and abdomen computed tomography scans.,"Radiography (London, England : 1995)",MR/CT imaging 'FLASH': SOMATOM,https://pubmed.ncbi.nlm.nih.gov/38723444/
38717956,2024,"α-Cleavage of 2,2-Diazido-2,3-dihydroinden-1-one in Solution and Cryogenic Matrices.",The Journal of organic chemistry,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/38717956/
38715719,2024,Impact of Additive Manufacturing Materials on Thermal Performance of Silicon Reference Cells.,"Solar energy (Phoenix, Ariz.)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38715719/
38678708,2024,Photochemical Transformation of Monochloramine Induced by Triplet State Dissolved Organic Matter.,Journal of hazardous materials,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/38678708/
38630982,2024,High-resolution 3T to 7T ADC map synthesis with a hybrid CNN-transformer model.,Medical physics,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/38630982/
38595181,2024,Universal 120-kV Dual-Source Ultra-High Pitch Protocol on the Photon-Counting CT System for Pediatric Abdomen of All Sizes: A Phantom Investigation Comparing With Energy-Integrating CT.,Investigative radiology,MR/CT imaging 'FLASH': High Pitch,https://pubmed.ncbi.nlm.nih.gov/38595181/
38586683,2024,Bothersome Hot Flashes Following Neoadjuvant Androgen Deprivation Therapy and Stereotactic Body Radiotherapy for Localized Prostate Cancer.,Cureus,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/38586683/
38575649,2024,Flash healing of laser-induced graphene.,Nature communications,off-topic sense of 'flash': flash joule,https://pubmed.ncbi.nlm.nih.gov/38575649/
38559724,2024,Weak-Field Electro-Flash Induced Asymmetric Catalytic Sites toward Efficient Solar Hydrogen Peroxide Production.,JACS Au,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/38559724/
38545689,2024,"Photocatalytic CO2 Reduction Using an Osmium Complex as a Panchromatic Self-Photosensitized Catalyst: Utilization of Blue, Green, and Red Light.",Angewandte Chemie (International ed. in English),no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/38545689/
38527876,2024,Degradation behaviors of Nabumetone and its metabolite during UV/monochloramine process: Experimental and theoretical study.,Journal of environmental sciences (China),no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38527876/
38335063,2024,Evaluating Mass Spectrometry-Based Hydroxyl Radical Protein Footprinting of a Benchtop Flash Oxidation System against a Synchrotron X-ray Beamline.,Journal of the American Society for Mass Spectrometry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38335063/
38332814,2024,Overall reaction mechanism of photocatalytic CO2 reduction on a Re(i)-complex catalyst unit of a Ru(ii)-Re(i) supramolecular photocatalyst.,Chemical science,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/38332814/
38290656,2024,Ketoprofen products induced photosensitization of sulfonamide antibiotics: The cocktail effects of pharmaceutical mixtures on their photodegradation.,"Environmental pollution (Barking, Essex : 1987)",no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/38290656/
38272325,2024,Photosensitized isomerization of resveratrol: Evaluation of energy and electron transfer pathways.,Free radical biology & medicine,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38272325/
38265521,2024,Evaluation of robustness of optimization methods in breast intensity-modulated radiation therapy using TomoTherapy.,Physical and engineering sciences in medicine,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/38265521/
38202842,2024,Thioxanthone-Based Siloxane Photosensitizer for Cationic/Radical Photopolymerization and Photoinduced Sol-Gel Reactions.,"Molecules (Basel, Switzerland)",off-topic title subject: photopolymeri,https://pubmed.ncbi.nlm.nih.gov/38202842/
38168121,2024,"Structure, optical properties, TD-DFT simulations for nanosecond and continuous laser irradiation of vanadium antimony borate glass doped with nickel ferrite.",Scientific reports,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38168121/
38071257,2024,Transmission electron microscopic study of the surface layer of surgical resected disc specimens in human temporomandibular joint.,Medical molecular morphology,off-topic title subject: transmission electron microsc,https://pubmed.ncbi.nlm.nih.gov/38071257/
