pmid,year,title,authors,journal,category,tags,doi,pmc,url
37887279,2023,Lung Organotypic Slices Enable Rapid Quantification of Acute Radiotherapy Induced Toxicity.,Dubail M; Heinrich S; Portier L; Bastian J; Giuliano L; Aggar L; Berthault N; Londoño-Vallejo JA; Vilalta M; Boivin G; Sharma RA; Dutreix M; Fouillade C,Cells,Radiobiology,Radiobiology,10.3390/cells12202435,PMC10605600,https://pubmed.ncbi.nlm.nih.gov/37887279/
37874173,2023,Human enteroids as a tool to study conventional and ultra-high dose rate radiation.,Klett KC; Martin-Villa BC; Villarreal VS; Melemenidis S; Viswanathan V; Manjappa R; Ashraf MR; Soto L; Lau B; Dutt S; Rankin EB; Loo BW; Heilshorn SC,Integrative biology : quantitative biosciences from nano to macro,Radiobiology,Radiobiology,10.1093/intbio/zyad013,PMC10594601,https://pubmed.ncbi.nlm.nih.gov/37874173/
37868341,2023,Dosimetric response of Gafchromic™ EBT-XD film to therapeutic protons.,Guan F; Wang X; Yang M; Draeger E; Han D; Iga K; Guo F; Perles L; Li Y; Sahoo N; Mohan R; Chen Z,Precision radiation oncology,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology,10.1002/pro6.1187,PMC10586355,https://pubmed.ncbi.nlm.nih.gov/37868341/
37845451,2023,A Critical Analysis of Possible Mechanisms for the Oxygen Effect in Radiation Therapy with FLASH.,Swartz HM; Vaupel P; Flood AB,Advances in experimental medicine and biology,Reviews & Consensus,Reviews & Consensus; Radiobiology,10.1007/978-3-031-42003-0_21,,https://pubmed.ncbi.nlm.nih.gov/37845451/
37820687,2023,Shoot-through proton FLASH irradiation lowers linear energy transfer in organs at risk for neurological tumors and is robust against density variations.,Kneepkens E; Wolfs C; Wanders RG; Traneus E; Eekers D; Verhaegen F,Physics in medicine and biology,Radiobiology,Radiobiology; Treatment Planning & Optimization; Beam Delivery & Technology,10.1088/1361-6560/ad0280,,https://pubmed.ncbi.nlm.nih.gov/37820687/
37808098,2023,Multi-Institutional Audit of FLASH and Conventional Dosimetry with a 3D-Printed Anatomically Realistic Mouse Phantom.,Ashraf MR; Melemenidis S; Liu K; Grilj V; Jansen J; Velasquez B; Connell L; Schulz JB; Bailat C; Libed A; Manjappa R; Dutt S; Soto L; Lau B; Garza A; Larsen W; Skinner L; Yu AS; Surucu M; Graves EE; Maxim PG; Kry SF; Vozenin MC; Schüler E; Jr BWL,ArXiv,Physics & Dosimetry,Physics & Dosimetry; Radiobiology; Beam Delivery & Technology,,PMC10557797,https://pubmed.ncbi.nlm.nih.gov/37808098/
37804712,2023,Optically stimulated luminescence system as an alternative for radiochromic film for 2D reference dosimetry in UHDR electron beams.,Vanreusel V; Gasparini A; Galante F; Mariani G; Pacitti M; Colijn A; Reniers B; Yalvac B; Vandenbroucke D; Peeters M; Leblans P; Felici G; Verellen D; de Freitas Nascimento L,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),Physics & Dosimetry,Physics & Dosimetry; Radiobiology; Beam Delivery & Technology,10.1016/j.ejmp.2023.103147,,https://pubmed.ncbi.nlm.nih.gov/37804712/
37797651,2023,Time dynamics of the dose deposited by relativistic ultra-short electron beams.,Horváth D; Grittani G; Precek M; Versaci R; Bulanov SV; Olšovcová V,Physics in medicine and biology,Beam Delivery & Technology,Beam Delivery & Technology; Modeling & Mechanisms; Radiobiology,10.1088/1361-6560/ad00a3,,https://pubmed.ncbi.nlm.nih.gov/37797651/
37766866,2023,Evaluation of single-fraction high dose FLASH radiotherapy in a cohort of canine oral cancer patients.,Børresen B; Arendt ML; Konradsson E; Bastholm Jensen K; Bäck SÅ; Munck Af Rosenschöld P; Ceberg C; Petersson K,Frontiers in oncology,Radiobiology,Radiobiology; Clinical & Translational; Beam Delivery & Technology,10.3389/fonc.2023.1256760,PMC10520273,https://pubmed.ncbi.nlm.nih.gov/37766866/
37760528,2023,Pencil Beam Scanning Bragg Peak FLASH Technique for Ultra-High Dose Rate Intensity-Modulated Proton Therapy in Early-Stage Breast Cancer Treatment.,Lattery G; Kaulfers T; Cheng C; Zhao X; Selvaraj B; Lin H; Simone CB; Choi JI; Chang J; Kang M,Cancers,Radiobiology,Radiobiology; Treatment Planning & Optimization; Beam Delivery & Technology; Clinical & Translational,10.3390/cancers15184560,PMC10527307,https://pubmed.ncbi.nlm.nih.gov/37760528/
37735967,2023,Pulse parameter optimizer: an efficient tool for achieving prescribed dose and dose rate with electron FLASH platforms.,Jain S; Cetnar A; Woollard J; Gupta N; Blakaj D; Chakravarti A; Ayan AS,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry,10.1088/1361-6560/acf63e,,https://pubmed.ncbi.nlm.nih.gov/37735967/
37730956,2023,Very high-energy electron dose calculation using the Fermi-Eyges theory of multiple scattering and a simplified pencil beam model.,Ronga MG; Deut U; Bonfrate A; De Marzi L,Medical physics,Modeling & Mechanisms,Modeling & Mechanisms; Beam Delivery & Technology,10.1002/mp.16697,,https://pubmed.ncbi.nlm.nih.gov/37730956/
37721059,2023,"Implications of ""flash"" radiotherapy for biodosimetry.",Swarts SG; Flood AB; Swartz HM,Radiation protection dosimetry,Radiobiology,Radiobiology; Physics & Dosimetry,10.1093/rpd/ncad062,,https://pubmed.ncbi.nlm.nih.gov/37721059/
37696040,2023,Evaluation of intensity-modulated electron FLASH radiotherapy in a clinical setting using veterinary cases.,Konradsson E; Szecsenyi RE; Adrian G; Coskun M; Børresen B; Arendt ML; Erhart K; Bäck SÅ; Petersson K; Ceberg C,Medical physics,Clinical & Translational,Clinical & Translational; Treatment Planning & Optimization; Beam Delivery & Technology; Radiobiology,10.1002/mp.16737,,https://pubmed.ncbi.nlm.nih.gov/37696040/
37690668,2023,FLASH-RT does not affect chromosome translocations and junction structures beyond that of CONV-RT dose-rates.,Barghouth PG; Melemenidis S; Montay-Gruel P; Ollivier J; Viswanathan V; Jorge PG; Soto LA; Lau BC; Sadeghi C; Edlabadkar A; Zhang R; Ru N; Baulch JE; Manjappa R; Wang J; Le Bouteiller M; Surucu M; Yu A; Bush K; Skinner L; Maxim PG; Loo BW; Limoli CL; Vozenin MC; Frock RL,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiobiology,Radiobiology,10.1016/j.radonc.2023.109906,PMC10591966,https://pubmed.ncbi.nlm.nih.gov/37690668/
37607566,2023,In vivodosimetry in cancer patients undergoing intraoperative radiation therapy.,Petoukhova A; Snijder R; Vissers T; Ceha H; Struikmans H,Physics in medicine and biology,Reviews & Consensus,Reviews & Consensus; Physics & Dosimetry; Treatment Planning & Optimization; Radiobiology,10.1088/1361-6560/acf2e4,,https://pubmed.ncbi.nlm.nih.gov/37607566/
37607560,2023,Thermal neutron detection and track recognition method in reference and out-of-field radiotherapy FLASH electron fields using Timepix3 detectors.,Oancea C; Solc J; Bourgouin A; Granja C; Jakubek J; Pivec J; Riemer F; Vykydal Z; Worm S; Marek L,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms; Beam Delivery & Technology,10.1088/1361-6560/acf2e1,,https://pubmed.ncbi.nlm.nih.gov/37607560/
37607534,2023,Flash-Thermal Shock Synthesis of High-Entropy Alloys Toward High-Performance Water Splitting.,Cha JH; Cho SH; Kim DH; Jeon D; Park S; Jung JW; Kim ID; Choi SY,"Advanced materials (Deerfield Beach, Fla.)",Clinical & Translational,Clinical & Translational,10.1002/adma.202305222,,https://pubmed.ncbi.nlm.nih.gov/37607534/
37590482,2023,Comparison of Tumor Control and Skin Damage in a Mouse Model after Ultra-High Dose Rate Irradiation and Conventional Irradiation.,Duval KEA; Aulwes E; Zhang R; Rahman M; Ashraf MR; Sloop A; Sunnerberg J; Williams BB; Cao X; Bruza P; Kheirollah A; Tavakkoli A; Jarvis LA; Schaner PE; Swartz HM; Gladstone DJ; Pogue BW; Hoopes PJ,Radiation research,Radiobiology,Radiobiology; Beam Delivery & Technology,10.1667/RADE-23-00057,PMC10551764,https://pubmed.ncbi.nlm.nih.gov/37590482/
37586385,2023,The dose-related plateau effect of surviving fraction in normal tissue during the ultra-high-dose-rate radiotherapy.,Hu S; Lan X; Zheng J; Bi Y; Ye Y; Si M; Fang Y; Wang J; Liu J; Chen Y; Chen Y; Xiang P; Niu T; Huang Y,Physics in medicine and biology,Radiobiology,Radiobiology,10.1088/1361-6560/acf112,,https://pubmed.ncbi.nlm.nih.gov/37586385/
37579761,2023,Dosimetry for radiobiologicalin vivoexperiments at laser plasma-based proton accelerators.,Reimold M; Assenbaum S; Bernert C; Beyreuther E; Brack FE; Karsch L; Kraft SD; Kroll F; Nossula A; Pawelke J; Rehwald M; Schlenvoigt HP; Schramm U; Umlandt MEP; Zeil K; Ziegler T; Metzkes-Ng J,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Radiobiology; Beam Delivery & Technology,10.1088/1361-6560/acf025,,https://pubmed.ncbi.nlm.nih.gov/37579761/
37569869,2023,Effects of UHDR and Conventional Irradiation on Behavioral and Cognitive Performance and the Percentage of Ly6G+ CD45+ Cells in the Hippocampus.,Chaklai A; Canaday P; O'Niel A; Cucinotta FA; Sloop A; Gladstone D; Pogue B; Zhang R; Sunnerberg J; Kheirollah A; Thomas CR; Hoopes PJ; Raber J,International journal of molecular sciences,Radiobiology,Radiobiology; Beam Delivery & Technology,10.3390/ijms241512497,PMC10419899,https://pubmed.ncbi.nlm.nih.gov/37569869/
37568795,2023,Influence of the Hypersensitivity to Low Dose Phenomenon on the Tumor Response to Hypofractionated Stereotactic Body Radiation Therapy.,Le Reun E; Granzotto A; Pêtre A; Bodgi L; Beldjoudi G; Lacornerie T; Vallet V; Bouchet A; Al-Choboq J; Bourguignon M; Thariat J; Bourhis J; Lartigau E; Foray N,Cancers,Radiobiology,Radiobiology; Modeling & Mechanisms,10.3390/cancers15153979,PMC10416967,https://pubmed.ncbi.nlm.nih.gov/37568795/
37568699,2023,FLASH Radiotherapy and the Use of Radiation Dosimeters.,Siddique S; Ruda HE; Chow JCL,Cancers,Reviews & Consensus,Reviews & Consensus; Physics & Dosimetry; Modeling & Mechanisms; Radiobiology; Treatment Planning & Optimization; Beam Delivery & Technology,10.3390/cancers15153883,PMC10417829,https://pubmed.ncbi.nlm.nih.gov/37568699/
37568644,2023,Proton Bragg Peak FLASH Enables Organ Sparing and Ultra-High Dose-Rate Delivery: Proof of Principle in Recurrent Head and Neck Cancer.,Pennock M; Wei S; Cheng C; Lin H; Hasan S; Chhabra AM; Choi JI; Bakst RL; Kabarriti R; Simone Ii CB; Lee NY; Kang M; Press RH,Cancers,Physics & Dosimetry,Physics & Dosimetry; Clinical & Translational,10.3390/cancers15153828,PMC10417542,https://pubmed.ncbi.nlm.nih.gov/37568644/
37567152,2023,Characterisation of the UK high energy proton research beamline for high and ultra-high dose rate (FLASH) irradiation.,Aylward JD; Henthorn N; Manger S; Warmenhoven JW; Merchant MJ; Taylor MJ; Mackay RI; Kirkby KJ,Biomedical physics & engineering express,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Clinical & Translational; Radiobiology,10.1088/2057-1976/acef25,,https://pubmed.ncbi.nlm.nih.gov/37567152/
37560327,2023,Review of optical reporters of radiation effects in vivo: tools to quantify improvements in radiation delivery technique.,Sunnerberg J; Thomas WS; Petusseau A; Reed MS; Jack Hoopes P; Pogue BW,Journal of biomedical optics,Reviews & Consensus,Reviews & Consensus; Radiobiology; Modeling & Mechanisms,10.1117/1.JBO.28.8.080901,PMC10409499,https://pubmed.ncbi.nlm.nih.gov/37560327/
37546731,2023,Deep learning-based Fast Volumetric Image Generation for Image-guided Proton FLASH Radiotherapy.,Chang CW; Lei Y; Wang T; Tian S; Roper J; Lin L; Bradley J; Liu T; Zhou J; Yang X,Research square,Radiobiology,Radiobiology; Beam Delivery & Technology,10.21203/rs.3.rs-3112632/v1,PMC10402267,https://pubmed.ncbi.nlm.nih.gov/37546731/
37516363,2023,First evidence of in vivo effect of FLASH radiotherapy with helium ions in zebrafish embryos.,Ghannam Y; Chiavassa S; Saade G; Koumeir C; Blain G; Delpon G; Evin M; Haddad F; Maigne L; Mouchard Q; Servagent N; Potiron V; Supiot S,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiobiology,Radiobiology,10.1016/j.radonc.2023.109820,,https://pubmed.ncbi.nlm.nih.gov/37516363/
37516362,2023,Enabling ultra-high dose rate electron beams at a clinical linear accelerator for isocentric treatments.,Dal Bello R; von der Grün J; Fabiano S; Rudolf T; Saltybaeva N; Stark LS; Ahmed M; Bathula M; Kucuker Dogan S; McNeur J; Guckenberger M; Tanadini-Lang S,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Beam Delivery & Technology,Beam Delivery & Technology; Radiobiology; Physics & Dosimetry,10.1016/j.radonc.2023.109822,,https://pubmed.ncbi.nlm.nih.gov/37516362/
37494946,2023,A diamond detector based dosimetric system for instantaneous dose rate measurements in FLASH electron beams.,Marinelli M; di Martino F; Del Sarto D; Pensavalle JH; Felici G; Giunti L; De Liso V; Kranzer R; Verona C; Verona Rinati G,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Radiobiology,10.1088/1361-6560/acead0,,https://pubmed.ncbi.nlm.nih.gov/37494946/
37463588,2023,Mean dose rate in ultra-high dose rate electron irradiation is a significant predictor for O2consumption and H2O2yield.,Sunnerberg JP; Zhang R; Gladstone DJ; Swartz HM; Gui J; Pogue BW,Physics in medicine and biology,Beam Delivery & Technology,Beam Delivery & Technology; Radiobiology; Modeling & Mechanisms,10.1088/1361-6560/ace877,PMC10405361,https://pubmed.ncbi.nlm.nih.gov/37463588/
37459481,2023,Shielding Analysis of a Preclinical Bremsstrahlung X-ray FLASH Radiotherapy System within a Clinical Radiation Therapy Vault.,Rosenstrom A; Santana-Leitner M; Rokni S; Shumail M; Tantawi S; Kwofie J; Dewji S; Loo BW,Health physics,Modeling & Mechanisms,Modeling & Mechanisms; Beam Delivery & Technology,10.1097/HP.0000000000001718,PMC10502918,https://pubmed.ncbi.nlm.nih.gov/37459481/
37454482,2023,A feasibility study of ultra-high dose rate mini-GRID therapy using very-high-energy electron beams for a simulated pediatric brain case.,Clements N; Esplen N; Bazalova-Carter M,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology; Beam Delivery & Technology; Clinical & Translational,10.1016/j.ejmp.2023.102637,,https://pubmed.ncbi.nlm.nih.gov/37454482/
37439504,2023,Definition of dose rate for FLASH pencil-beam scanning proton therapy: A comparative study.,Deffet S; Hamaide V; Sterpin E,Medical physics,Clinical & Translational,Clinical & Translational,10.1002/mp.16607,,https://pubmed.ncbi.nlm.nih.gov/37439504/
37431587,2023,FLASH dose rate calculation based on log files in proton pencil beam scanning therapy.,Jeon C; Ahn S; Amano D; Kamiguchi N; Cho S; Sheen H; Park HC; Han Y,Medical physics,Physics & Dosimetry,Physics & Dosimetry; Radiobiology; Modeling & Mechanisms; Beam Delivery & Technology; Clinical & Translational,10.1002/mp.16575,,https://pubmed.ncbi.nlm.nih.gov/37431587/
37431574,2023,FLASH instead of proton arc therapy is a more promising advancement for the next generation proton radiotherapy.,Kang M; Ding X; Rong Y,Journal of applied clinical medical physics,Point-Counterpoint,Point-Counterpoint,10.1002/acm2.14091,PMC10402688,https://pubmed.ncbi.nlm.nih.gov/37431574/
37430512,2023,Development of a Real-Time Pixel Array-Type Detector for Ultrahigh Dose-Rate Beams.,Jang YJ; Yang TK; Kim JH; Jang HS; Jeong JH; Kim KB; Kim GB; Park SH; Choi SH,"Sensors (Basel, Switzerland)",Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms; Beam Delivery & Technology,10.3390/s23104596,PMC10220794,https://pubmed.ncbi.nlm.nih.gov/37430512/
37429310,2023,Luminescence imaging of water irradiated by protons under FLASH radiation therapy conditions.,Yogo K; Kodaira S; Kusumoto T; Kitamura H; Toshito T; Iwata H; Umezawa M; Yamada M; Miyoshi T; Komori M; Yasuda H; Kataoka J; Yamamoto S,Physics in medicine and biology,Beam Delivery & Technology,Beam Delivery & Technology; Radiobiology,10.1088/1361-6560/ace60b,,https://pubmed.ncbi.nlm.nih.gov/37429310/
37427749,2023,"An orthogonal matching pursuit optimization method for solving minimum-monitor-unit problems: Applications to proton IMPT, ARC and FLASH.",Zhu YN; Zhang X; Lin Y; Lominska C; Gao H,Medical physics,Radiobiology,Radiobiology; Treatment Planning & Optimization,10.1002/mp.16577,PMC11031273,https://pubmed.ncbi.nlm.nih.gov/37427749/
37427669,2023,3D-conformal very-high energy electron therapy as candidate modality for FLASH-RT: A treatment planning study for glioblastoma and lung cancer.,Böhlen TT; Germond JF; Traneus E; Vallet V; Desorgher L; Ozsahin EM; Bochud F; Bourhis J; Moeckli R,Medical physics,Treatment Planning & Optimization,Treatment Planning & Optimization; Radiobiology; Physics & Dosimetry; Beam Delivery & Technology,10.1002/mp.16586,,https://pubmed.ncbi.nlm.nih.gov/37427669/
37385377,2023,The sparing effect of FLASH-RT on synaptic plasticity is maintained in mice with standard fractionation.,Limoli CL; Kramár EA; Almeida A; Petit B; Grilj V; Baulch JE; Ballesteros-Zebadua P; Loo BW; Wood MA; Vozenin MC,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiobiology,Radiobiology,10.1016/j.radonc.2023.109767,PMC11045040,https://pubmed.ncbi.nlm.nih.gov/37385377/
37377749,2023,Uncovering the Protective Neurologic Mechanisms of Hypofractionated FLASH Radiotherapy.,Alaghband Y; Allen BD; Kramár EA; Zhang R; Drayson OGG; Ru N; Petit B; Almeida A; Doan NL; Wood MA; Baulch JE; Ballesteros-Zebadua P; Vozenin MC; Limoli CL,Cancer research communications,Radiobiology,Radiobiology; Modeling & Mechanisms; Clinical & Translational,10.1158/2767-9764.CRC-23-0117,PMC10135433,https://pubmed.ncbi.nlm.nih.gov/37377749/
37371723,2023,Uncovering the Secrets of Prostate Cancer's Radiotherapy Resistance: Advances in Mechanism Research.,Lyu F; Shang SY; Gao XS; Ma MW; Xie M; Ren XY; Liu MZ; Chen JY; Li SS; Huang L,Biomedicines,Reviews & Consensus,Reviews & Consensus; Radiobiology,10.3390/biomedicines11061628,PMC10296152,https://pubmed.ncbi.nlm.nih.gov/37371723/
37369231,2023,Increased flexibility and efficiency of a double-scattering FLASH proton beamline configuration forin vivoSOBP radiotherapy treatments.,Hachadorian R; Cascio E; Schuemann J,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Beam Delivery & Technology; Treatment Planning & Optimization,10.1088/1361-6560/ace23c,PMC10652226,https://pubmed.ncbi.nlm.nih.gov/37369231/
37368273,2023,Smart Radiotherapy Biomaterials for Image-Guided In Situ Cancer Vaccination.,Ainsworth V; Moreau M; Guthier R; Zegeye Y; Kozono D; Swanson W; Jandel M; Oh P; Quon H; Hobbs RF; Yasmin-Karim S; Sajo E; Ngwa W,"Nanomaterials (Basel, Switzerland)",Reviews & Consensus,Reviews & Consensus; Clinical & Translational,10.3390/nano13121844,PMC10303169,https://pubmed.ncbi.nlm.nih.gov/37368273/
37364800,2023,FLASH Effects Induced by Orthovoltage X-Rays.,Miles D; Sforza D; Wong JW; Gabrielson K; Aziz K; Mahesh M; Coulter JB; Siddiqui I; Tran PT; Viswanathan AN; Rezaee M,"International journal of radiation oncology, biology, physics",Radiobiology,Radiobiology; Physics & Dosimetry; Beam Delivery & Technology,10.1016/j.ijrobp.2023.06.006,PMC11189000,https://pubmed.ncbi.nlm.nih.gov/37364800/
37352867,2023,Modeling ultra-high dose rate electron and proton FLASH effect with the physicochemical approach.,Tan HS; Teo KBK; Dong L; Friberg A; Koumenis C; Diffenderfer E; Zou JW,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology; Beam Delivery & Technology,10.1088/1361-6560/ace14d,PMC10472835,https://pubmed.ncbi.nlm.nih.gov/37352867/
37336230,2023,Investigation of TL and OSL detectors in ultra-high dose rate electron beams.,Motta S; Christensen JB; Frei F; Peier P; Yukihara EG,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Radiobiology,10.1088/1361-6560/acdfb2,,https://pubmed.ncbi.nlm.nih.gov/37336230/
37315577,2023,Ultra-high dose-rate proton FLASH improves tumor control.,Shukla S; Saha T; Rama N; Acharya A; Le T; Bian F; Donovan J; Tan LA; Vatner R; Kalinichenko V; Mascia A; Perentesis JP; Kalin TV,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiobiology,Radiobiology,10.1016/j.radonc.2023.109741,PMC10527231,https://pubmed.ncbi.nlm.nih.gov/37315577/
37285861,2023,A method to implement inter-track interactions in Monte Carlo simulations with TOPAS-nBio and their influence on simulated radical yields following water radiolysis.,Derksen L; Flatten V; Engenhart-Cabillic R; Zink K; Baumann KS,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology,10.1088/1361-6560/acdc7d,,https://pubmed.ncbi.nlm.nih.gov/37285861/
37285847,2023,Measurement of the time structure of FLASH beams using prompt gamma rays and secondary neutrons as surrogates.,Charyyev S; Liu R; Yang X; Zhou J; Dhabaan A; Dynan WS; Oancea C; Lin L,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Clinical & Translational,10.1088/1361-6560/acdc7c,,https://pubmed.ncbi.nlm.nih.gov/37285847/
37278647,2023,Erratum: Implementation and validation of a beam-current transformer on a medical pulsed electron beam LINAC for FLASH-RT beam monitoring.,,Journal of applied clinical medical physics,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology,10.1002/acm2.13946,PMC10243319,https://pubmed.ncbi.nlm.nih.gov/37278647/
37276928,2023,Effect of Conventional and Ultrahigh Dose Rate FLASH Irradiations on Preclinical Tumor Models: A Systematic Analysis.,Böhlen TT; Germond JF; Petersson K; Ozsahin EM; Herrera FG; Bailat C; Bochud F; Bourhis J; Moeckli R; Adrian G,"International journal of radiation oncology, biology, physics",Reviews & Consensus,Reviews & Consensus; Radiobiology,10.1016/j.ijrobp.2023.05.045,,https://pubmed.ncbi.nlm.nih.gov/37276928/
37249058,2023,Characterization of a diode dosimeter for UHDR FLASH radiotherapy.,Rahman M; Kozelka J; Hildreth J; Schönfeld A; Sloop AM; Ashraf MR; Bruza P; Gladstone DJ; Pogue BW; Simon WE; Zhang R,Medical physics,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Radiobiology,10.1002/mp.16474,PMC11748214,https://pubmed.ncbi.nlm.nih.gov/37249058/
37227735,2023,Detailed Monte-Carlo characterization of a Faraday cup for proton therapy.,Ehwald J; Togno M; Lomax AJ; Weber DC; Safai S; Winterhalter C,Medical physics,Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms,10.1002/mp.16464,,https://pubmed.ncbi.nlm.nih.gov/37227735/
37227704,2023,Secondary radiation dose modeling in passive scattering and pencil beam scanning very high energy electron (VHEE) radiation therapy.,Deut U; Ronga MG; Bonfrate A; De Marzi L,Medical physics,Modeling & Mechanisms,Modeling & Mechanisms; Beam Delivery & Technology,10.1002/mp.16443,,https://pubmed.ncbi.nlm.nih.gov/37227704/
37207092,2023,Emerging technologies for cancer therapy using accelerated particles.,Graeff C; Volz L; Durante M,Progress in particle and nuclear physics,Clinical & Translational,Clinical & Translational; Beam Delivery & Technology; Radiobiology,10.1016/j.ppnp.2023.104046,PMC7614547,https://pubmed.ncbi.nlm.nih.gov/37207092/
37203253,2023,Towards quantitative in vivo dosimetry using x-ray acoustic computed tomography.,Sun L; Gonzalez G; Pandey PK; Wang S; Kim K; Limoli C; Chen Y; Xiang L,Medical physics,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Radiobiology; Modeling & Mechanisms,10.1002/mp.16476,PMC10656364,https://pubmed.ncbi.nlm.nih.gov/37203253/
37201533,2023,An integrated Monte Carlo track-structure simulation framework for modeling inter and intra-track effects on homogenous chemistry.,D-Kondo JN; Garcia-Garcia OR; LaVerne JA; Faddegon B; Schuemann J; Shin WG; Ramos-Méndez J,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms,10.1088/1361-6560/acd6d0,PMC10355172,https://pubmed.ncbi.nlm.nih.gov/37201533/
37201453,2023,The general-purpose Geant4 Monte Carlo toolkit and its Geant4-DNA extension to investigate mechanisms underlying the FLASH effect in radiotherapy: Current status and challenges.,Chappuis F; Tran HN; Zein SA; Bailat C; Incerti S; Bochud F; Desorgher L,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),Reviews & Consensus,Reviews & Consensus; Modeling & Mechanisms; Radiobiology,10.1016/j.ejmp.2023.102601,,https://pubmed.ncbi.nlm.nih.gov/37201453/
37198998,2023,Implementation of novel measurement-based patient-specific QA for pencil beam scanning proton FLASH radiotherapy.,Huang S; Yang Y; Wei S; Kang M; Tsai P; Chen CC; Yuan Z; Choi JI; Tome WA; Simone CB; Lin H,Medical physics,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Treatment Planning & Optimization; Modeling & Mechanisms,10.1002/mp.16458,,https://pubmed.ncbi.nlm.nih.gov/37198998/
37196836,2023,A Novel Ultrahigh-Dose-Rate Proton Therapy Technology: Spot-Scanning Proton Arc Therapy + FLASH (SPLASH).,Liu G; Zhao L; Li X; Zhang S; Dai S; Lu X; Ding X,"International journal of radiation oncology, biology, physics",Treatment Planning & Optimization,Treatment Planning & Optimization; Beam Delivery & Technology; Clinical & Translational,10.1016/j.ijrobp.2023.05.012,,https://pubmed.ncbi.nlm.nih.gov/37196836/
37196835,2023,"Preferential Tumor Vascular Damage Is the Common Antitumor Mechanism of High-Dose Hypofractionated Radiation Therapy: SABR, Spatially Fractionated Radiation Therapy, and FLASH Radiation Therapy.",Song CW; Terezakis S; Park WY; Paek SH; Kim MS; Cho LC; Griffin RJ,"International journal of radiation oncology, biology, physics",Radiobiology,Radiobiology,10.1016/j.ijrobp.2023.05.015,,https://pubmed.ncbi.nlm.nih.gov/37196835/
37190907,2023,Surface guided electron FLASH radiotherapy for canine cancer patients.,Mannerberg A; Konradsson E; Kügele M; Edvardsson A; Kadhim M; Ceberg C; Peterson K; Thomasson HM; Arendt ML; Børresen B; Jensen KB; Ceberg S,Medical physics,Clinical & Translational,Clinical & Translational; Radiobiology,10.1002/mp.16453,,https://pubmed.ncbi.nlm.nih.gov/37190907/
37190197,2023,Absence of Tissue-Sparing Effects in Partial Proton FLASH Irradiation in Murine Intestine.,Zhang Q; Gerweck LE; Cascio E; Gu L; Yang Q; Dong X; Huang P; Bertolet A; Nesteruk KP; Sung W; McNamara AL; Schuemann J,Cancers,Radiobiology,Radiobiology,10.3390/cancers15082269,PMC10137009,https://pubmed.ncbi.nlm.nih.gov/37190197/
37174045,2023,Single Ultra-High Dose Rate Proton Transmission Beam for Whole Breast FLASH-Irradiation: Quantification of FLASH-Dose and Relation with Beam Parameters.,van Marlen P; van de Water S; Dahele M; Slotman BJ; Verbakel WFAR,Cancers,Beam Delivery & Technology,Beam Delivery & Technology; Radiobiology; Treatment Planning & Optimization,10.3390/cancers15092579,PMC10177419,https://pubmed.ncbi.nlm.nih.gov/37174045/
37174022,2023,Image-Guided Proton Therapy: A Comprehensive Review.,Lane SA; Slater JM; Yang GY,Cancers,Reviews & Consensus,Reviews & Consensus; Physics & Dosimetry; Modeling & Mechanisms,10.3390/cancers15092555,PMC10177085,https://pubmed.ncbi.nlm.nih.gov/37174022/
