pmid,year,title,journal,screen_reason,url
41966138,2026,Alizarin-based soybean oil materials for the synthesis of 3D-photoprinted objects with efficient antibacterial properties.,Journal of materials chemistry. B,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/41966138/
41935687,2026,A Practical Distributed Virtual Bolus Strategy for Motion-Robust Superficial Dose Delivery in Breast Volumetric Modulated Arc Therapy.,Practical radiation oncology,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/41935687/
41919639,2026,High-Speed Detection of X-ray Pulses Using a Digital Counter Coupled with Perovskite Composite Scintillators.,ACS applied materials & interfaces,off-topic title subject: perovskite,https://pubmed.ncbi.nlm.nih.gov/41919639/
41883889,2026,"Timing and Resolution of Bothersome Hot Flashes Following Short Course Oral Gonadotropin-Releasing Hormone Receptor Antagonist Relugolix, and Stereotactic Body Radiotherapy for Localized Prostate Cancer.",Cureus,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/41883889/
41773713,2026,"Dosimetric effects of internal margin, auto flash, and virtual bolus in VMAT-based whole-breast radiotherapy under motion variations.",Journal of applied clinical medical physics,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/41773713/
41713287,2026,Oxalic acid alters electron-transfer chain reactions of photoexcited humic acid and generates both oxidative/reductive radicals.,Water research,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/41713287/
41658581,2026,Editorial: Innovative approaches in precision radiation oncology.,Frontiers in medicine,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41658581/
41656965,2026,Optimizing breast and chest wall treatment planning: Integrating dynamic collimator rotation with static-angle modulated ports in VMAT radiotherapy.,Journal of applied clinical medical physics,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/41656965/
41571671,2026,Ultrathin liquid cells for microsecond time-resolved cryo-EM.,Nature communications,off-topic title subject: cryo-em,https://pubmed.ncbi.nlm.nih.gov/41571671/
41419026,2026,Large language models for toxicity extraction in oncology trials: A real-world benchmark in prostate radiotherapy.,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41419026/
41202922,2026,"""Current Use and Clinical Applications of Intraoperative Radiotherapy in Soft Tissue Sarcomas: Insights from a National Survey in Spain"".",Cirugia espanola,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41202922/
41477291,2025,"Editorial: 2nd collection of special issue in innovations, advances, and challenges in precision radiation oncology physics.",Precision radiation oncology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41477291/
41228642,2025,Porphyrin-Based Bio-Sourced Materials for Water Depollution Under Light Exposure.,Polymers,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/41228642/
41208608,2025,Excited-State Proton Transfer in Push-Pull N-Methyl Pyridium Reversible Super-Photoacids Ruled by Intramolecular Hydrogen-Bond-Like Interactions.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/41208608/
41200838,2025,C3-Symmetric Borabuckybowl Featuring a Pyramidal-like sp2 Boron Atom for Advanced Electronics and Optical Functions.,Journal of the American Chemical Society,no radiation signal + off-topic term: borabuckybowl,https://pubmed.ncbi.nlm.nih.gov/41200838/
41065312,2025,RTPhy-ChatBot: A RAG-Based intelligent assistant for radiotherapy physics using LLaMA3 and AAPM reports.,Journal of applied clinical medical physics,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41065312/
41043172,2025,Mechanistic Insights into Photocatalytic Reduction and Triplet Sensitization of 4-Azido-1-phenylbutan-1-ones to Selectively Form 2-Phenyl-1-pyrrolines.,The Journal of organic chemistry,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/41043172/
40874144,2025,Photochemical reaction of 4-chlorobiphenyl with nitrous acid in atmospheric aqueous solution.,RSC advances,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/40874144/
40852772,2025,Photo-thermal Catalytic CO2 Methanation by RuOx@MIL-101(Cr) with 9.2% Apparent Quantum Yield under Visible Light Irradiation.,ACS applied materials & interfaces,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/40852772/
40772667,2025,Deep Eutectic Solvent Binder Facilitating Reaction Kinetics of Lithium Sulfur Batteries.,Angewandte Chemie (International ed. in English),off-topic title subject: lithium sulfur,https://pubmed.ncbi.nlm.nih.gov/40772667/
40728046,2025,Cyanomethanesulfinyl Radical: Photoisomerization and Thermal Decomposition Reactions.,The journal of physical chemistry. A,off-topic title subject: photoisomeri,https://pubmed.ncbi.nlm.nih.gov/40728046/
40698312,2025,Performance evaluation of a new automated skin flash method for radiotherapy of breast cancer.,Physics and imaging in radiation oncology,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/40698312/
40677017,2025,Graphdiyne Production in a Flash: High-Yield Direct Synthesis by Electron Beam Irradiation.,"Advanced materials (Deerfield Beach, Fla.)",off-topic title subject: graphdiyne,https://pubmed.ncbi.nlm.nih.gov/40677017/
40654775,2025,Ultrathin Liquid Cells for Microsecond Time-Resolved Cryo-EM.,bioRxiv : the preprint server for biology,off-topic title subject: cryo-em,https://pubmed.ncbi.nlm.nih.gov/40654775/
40619678,2025,Preparation and Photochemistry of Hydroxy Isocyanate.,The journal of physical chemistry. A,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/40619678/
40561642,2025,The current practice of volumetric modulated arc therapy for breast cancer in Europe - A survey by the EFOMP VMAT breast working group.,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),aperture/planning 'flash': auto flash,https://pubmed.ncbi.nlm.nih.gov/40561642/
40503425,2025,Optimizing Breast Cancer Radiation therapy With Volumetric Modulated Arc Therapy and Skin Flash: A Case Study Using Deep Inspiration Breath Hold and Cherenkov Imaging.,Advances in radiation oncology,curator override: manually excluded,https://pubmed.ncbi.nlm.nih.gov/40503425/
40423465,2025,Overlooked Photochemical Risk of Antimicrobial Fragrances: Formation of Potent Allergens and Their Mechanistic Pathways.,Toxics,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/40423465/
40305916,2025,Photochemical transformation of the uricosuric drug benzbromarone in aqueous solutions exposed to UV irradiation.,Water research,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/40305916/
40230284,2025,Selective and local flash-annealing for improvement in the contact characteristics of MoS2 transistors.,Nanoscale,no radiation signal + off-topic term: flash-anneal,https://pubmed.ncbi.nlm.nih.gov/40230284/
40195824,2025,Strain-Assisted Large-Scale 1T-MoS2 Synthesis and its Optical Synaptic Flash Memory Application.,Small methods,off-topic sense of 'flash': flash memory,https://pubmed.ncbi.nlm.nih.gov/40195824/
40080416,2025,Photoinduced Electron Transfer in Ruthenium-Polypyridyl-Modified Laccases: Probing Pathways From the Surface to the Metal Centers.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/40080416/
40062441,2025,A robust planning approach for respiratory motion in accelerated partial breast irradiation using volumetric modulated arc therapy.,Journal of radiation research,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/40062441/
40012189,2025,Temperature-Dependent Photoreactivity of 2-Azidomethylbenzophenone: Insights into the Triplet Imine Biradical Pathway.,The Journal of organic chemistry,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/40012189/
39704603,2025,Lignin Derivative as Visible-Light Photo-Initiating System for the Development of Biocide Materials under Light Irradiation.,Macromolecular rapid communications,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39704603/
39676056,2025,Luminescence and Generation of Reactive Oxygen Species in Solution by Ta6Br12 Clusters.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39676056/
39637690,2025,Direct and indirect photolysis of oxolinic acid in surface waters and its inhibition by antioxidant effects.,Water research,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/39637690/
39629499,2025,"Flashlight-induced Ultrafast, Scalable Surface Activation of Highly Loaded Graphite Composite Anode.",Small methods,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39629499/
39657062,2024,Influence of Curvature on the Physical Properties and Reactivity of Triplet Corannulene Nitrene.,Journal of the American Chemical Society,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/39657062/
39596539,2024,Multi-Spectroscopic and Molecular Modeling Studies of Interactions Between Anionic Porphyrin and Human Serum Albumin.,International journal of molecular sciences,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/39596539/
39395671,2024,Transit-guided radiation therapy: a novel patient monitoring approach.,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,aperture/planning 'flash': skin-flash,https://pubmed.ncbi.nlm.nih.gov/39395671/
39390822,2024,A Near-Infrared Retinomorphic Device with High Dimensionality Reservoir Expression.,"Advanced materials (Deerfield Beach, Fla.)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39390822/
39388608,2024,ATRP with ppb Concentrations of Photocatalysts.,Journal of the American Chemical Society,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/39388608/
39372821,2024,Non-Islet-Cell Tumor Hypoglycemia Secondary to Malignant Phyllodes Tumor of the Breast.,AACE clinical case reports,off-topic sense of 'flash': flash glucose,https://pubmed.ncbi.nlm.nih.gov/39372821/
39343181,2024,"Enantioselectively generating imidazolone dIz by the chiral DNA intercalating and ""light-switching"" Ru(II) polypyridyl complex via a novel flash-quench method.",Free radical biology & medicine,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/39343181/
38993192,2024,Intensity Modulated Therapy for Patients With Breast Cancer. Practical Guidelines and Tips for an Effective Treatment Planning Strategy.,Advances in radiation oncology,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/38993192/
38927940,2024,Extracellular Vesicle- and Mitochondria-Based Targeting of Non-Small Cell Lung Cancer Response to Radiation: Challenges and Perspectives.,Cancers,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/38927940/
38904446,2024,Optical Control of TRPV1 Channels In Vitro with Tethered Photopharmacology.,ACS chemical biology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38904446/
38748890,2024,Unusual Photochemistry in Aromatic Dithioimides: Quantitative Thione Reduction Promoted by Ether Solvents.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/38748890/
38717956,2024,"α-Cleavage of 2,2-Diazido-2,3-dihydroinden-1-one in Solution and Cryogenic Matrices.",The Journal of organic chemistry,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/38717956/
38715719,2024,Impact of Additive Manufacturing Materials on Thermal Performance of Silicon Reference Cells.,"Solar energy (Phoenix, Ariz.)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38715719/
38678708,2024,Photochemical Transformation of Monochloramine Induced by Triplet State Dissolved Organic Matter.,Journal of hazardous materials,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/38678708/
38630982,2024,High-resolution 3T to 7T ADC map synthesis with a hybrid CNN-transformer model.,Medical physics,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/38630982/
38586683,2024,Bothersome Hot Flashes Following Neoadjuvant Androgen Deprivation Therapy and Stereotactic Body Radiotherapy for Localized Prostate Cancer.,Cureus,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/38586683/
38575649,2024,Flash healing of laser-induced graphene.,Nature communications,off-topic sense of 'flash': flash joule,https://pubmed.ncbi.nlm.nih.gov/38575649/
38559724,2024,Weak-Field Electro-Flash Induced Asymmetric Catalytic Sites toward Efficient Solar Hydrogen Peroxide Production.,JACS Au,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/38559724/
38545689,2024,"Photocatalytic CO2 Reduction Using an Osmium Complex as a Panchromatic Self-Photosensitized Catalyst: Utilization of Blue, Green, and Red Light.",Angewandte Chemie (International ed. in English),no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/38545689/
38527876,2024,Degradation behaviors of Nabumetone and its metabolite during UV/monochloramine process: Experimental and theoretical study.,Journal of environmental sciences (China),no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38527876/
38335063,2024,Evaluating Mass Spectrometry-Based Hydroxyl Radical Protein Footprinting of a Benchtop Flash Oxidation System against a Synchrotron X-ray Beamline.,Journal of the American Society for Mass Spectrometry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38335063/
38332814,2024,Overall reaction mechanism of photocatalytic CO2 reduction on a Re(i)-complex catalyst unit of a Ru(ii)-Re(i) supramolecular photocatalyst.,Chemical science,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/38332814/
38290656,2024,Ketoprofen products induced photosensitization of sulfonamide antibiotics: The cocktail effects of pharmaceutical mixtures on their photodegradation.,"Environmental pollution (Barking, Essex : 1987)",no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/38290656/
38272325,2024,Photosensitized isomerization of resveratrol: Evaluation of energy and electron transfer pathways.,Free radical biology & medicine,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38272325/
38265521,2024,Evaluation of robustness of optimization methods in breast intensity-modulated radiation therapy using TomoTherapy.,Physical and engineering sciences in medicine,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/38265521/
38202842,2024,Thioxanthone-Based Siloxane Photosensitizer for Cationic/Radical Photopolymerization and Photoinduced Sol-Gel Reactions.,"Molecules (Basel, Switzerland)",off-topic title subject: photopolymeri,https://pubmed.ncbi.nlm.nih.gov/38202842/
38168121,2024,"Structure, optical properties, TD-DFT simulations for nanosecond and continuous laser irradiation of vanadium antimony borate glass doped with nickel ferrite.",Scientific reports,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/38168121/
38071257,2024,Transmission electron microscopic study of the surface layer of surgical resected disc specimens in human temporomandibular joint.,Medical molecular morphology,off-topic title subject: transmission electron microsc,https://pubmed.ncbi.nlm.nih.gov/38071257/
37775645,2024,"Restoration of vision by combined experimental antithymocyte therapy, and orbital radiation with high-dose steroids for severe, acute, steroid-refractory, congestive thyroid orbitopathy.",Documenta ophthalmologica. Advances in ophthalmology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/37775645/
38063135,2023,"3-Fluoro-2H-azirine: Generation, Characterization, and Photochemistry.",The journal of physical chemistry. A,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/38063135/
38031125,2023,"Quality assurance in a phase III, multicenter, randomized trial of POstmastectomy radioThErapy in Node posiTive breast cancer with or without Internal mAmmary nodaL irradiation (POTENTIAL): a planning benchmark case.","Radiation oncology (London, England)",aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/38031125/
38023210,2023,Robustness of hypofractionated breast radiotherapy after breast-conserving surgery with free breathing.,Frontiers in oncology,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/38023210/
37998531,2023,Comparative Study of Plan Robustness for Breast Radiotherapy: Volumetric Modulated Arc Therapy Plans with Robust Optimization versus Manual Flash Approach.,"Diagnostics (Basel, Switzerland)",aperture/planning 'flash': manual flash,https://pubmed.ncbi.nlm.nih.gov/37998531/
37939705,2023,"Unraveling the Solid-State Photoreactivity of Carbonylbis(4,1-Phenylene)dicarbonazidate with Laser Flash Photolysis.",The journal of physical chemistry. A,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/37939705/
37828716,2023,Solid lipid nanoparticles of lutein with improved dissolution behavior and oral absorption.,Pharmaceutical development and technology,no radiation signal + off-topic term: nanoprecipitation,https://pubmed.ncbi.nlm.nih.gov/37828716/
37809274,2023,Retrospective Analysis of the Areas Responsible for Light Flash and Odor During Proton Beam Therapy and Photon Therapy.,Cureus,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/37809274/
37793275,2023,Assessment of the PARP inhibitor talazoparib photosafety profile.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/37793275/
37485049,2023,Synchronization of light flash with the irradiation pulse in proton beam therapy: A case report.,Technical innovations & patient support in radiation oncology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/37485049/
37460363,2023,Robust VMAT treatment planning for extremity soft tissue sarcomas.,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/37460363/
37434541,2023,Photolysis of an Archetypal Model Complex. Photooxidation Versus Photoreduction of Azido(porphinato)iron(III).,"Chemistry (Weinheim an der Bergstrasse, Germany)",no radiation signal + off-topic term: thin film,https://pubmed.ncbi.nlm.nih.gov/37434541/
37428984,2023,Photochemical Transformation of Free Chlorine Induced by Triplet State Dissolved Organic Matter.,Environmental science & technology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/37428984/
37408674,2023,Effect of Serelys Homme on the Incidence and Severity of Vasomotor Symptoms and Quality-of-Life Impairments in Patients Receiving Hormone Therapy and Radiation for Localized Prostate Cancer: Results of the ESCULAPE Phase 2 Prospective Study.,Advances in radiation oncology,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/37408674/
37401827,2023,Near-infrared radiation causes sebaceous gland enlargement along with an ROS-dependent augmentation of epidermal growth factor receptor expression in hamsters.,Experimental dermatology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/37401827/
37375200,2023,Effect of Low-Dose Line-Spectrum and Full-Spectrum UV on Major Humoral Components of Human Blood.,"Molecules (Basel, Switzerland)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/37375200/
37374779,2023,Effect of Microwave Irradiation on the Dielectric Characteristics of Semi-Conductive Nanoparticle-Based Nanofluids: Progress towards the Microwave Synthesis.,Micromachines,no radiation signal + off-topic term: dielectric,https://pubmed.ncbi.nlm.nih.gov/37374779/
37287131,2023,Comparing brass mesh to tissue equivalent bolus materials for volumetric modulated arc therapy chest wall irradiation.,Journal of applied clinical medical physics,aperture/planning 'flash': pseudo-flash,https://pubmed.ncbi.nlm.nih.gov/37287131/
37261435,2023,FP(μ-N)2 S: A Sulfur-Pnictogen Four-Membered Ring with 6π Electrons.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/37261435/
37119051,2023,LBA02-09 EMBARK: A Phase 3 Randomized Study of Enzalutamide or Placebo Plus Leuprolide Acetate and Enzalutamide Monotherapy in High-risk Biochemically Recurrent Prostate Cancer.,The Journal of urology,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/37119051/
37116146,2023,"Optimal Combination of Pitch, Modulation Factor and Dosimetric Considerations in Treatment Planning for Total Body Irradiation Using Helical Tomotherapy.",Asian Pacific journal of cancer prevention : APJCP,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/37116146/
37109863,2023,Microstructure Formation and Mechanical Properties of Metastable Titanium-Based Gradient Coating Fabricated via Intense Pulse Ion Beam Melt Mixing.,"Materials (Basel, Switzerland)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/37109863/
37108745,2023,Synthesis of Bis(amino acids) Containing the Styryl-cyclobutane Core by Photosensitized [2+2]-Cross-cycloaddition of Allylidene-5(4H)-oxazolones.,International journal of molecular sciences,off-topic title subject: cycloadd,https://pubmed.ncbi.nlm.nih.gov/37108745/
37040836,2023,A new view on the mechanism of UV photodegradation of the tricyclic antidepressant carbamazepine in aqueous solutions.,Chemosphere,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/37040836/
37025589,2023,Editorial: 365 days of progress in radiation oncology.,Frontiers in oncology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/37025589/
37018018,2023,Light-Deactivated Fluorescent Probes (FLASH-Off) for Multiplexed Imaging.,Journal of the American Chemical Society,no radiation signal + off-topic term: fluorescent probe,https://pubmed.ncbi.nlm.nih.gov/37018018/
37006681,2023,Room temperature design of Ce(iv)-MOFs: from photocatalytic HER and OER to overall water splitting under simulated sunlight irradiation.,Chemical science,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/37006681/
36959978,2023,A simple flash and freeze system for cryogenic time-resolved electron microscopy.,Frontiers in molecular biosciences,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/36959978/
36926906,2023,Excited-State Intramolecular Proton Transfer in Salicylidene-α-Hydroxy Carboxylate Derivatives: Direct Detection of the Triplet Excited State of the cis-Keto Tautomer.,The journal of physical chemistry. A,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/36926906/
36907419,2023,Assessing the photodegradation potential of compounds derived from the photoinduced weathering of polystyrene in water.,The Science of the total environment,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/36907419/
36877095,2023,Selective Preparation of Phosphorus Mononitride (P≡N) from Phosphinoazide and Reversible Oxidation to Phosphinonitrene.,Angewandte Chemie (International ed. in English),no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/36877095/
36737788,2023,Dosimetric comparison of two dose expansion methods in intensity modulated radiotherapy for breast cancer.,"Radiation oncology (London, England)",off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/36737788/
36658174,2023,Rapid photonic curing effects of xenon flash lamp on ITO-Ag-ITO multilayer electrodes for high throughput transparent electronics.,Scientific reports,no radiation signal + off-topic term: semiconductor,https://pubmed.ncbi.nlm.nih.gov/36658174/
36403842,2023,A new bi-radical species formed during the photochemical degradation of synthetic musk tonalide in water: Study of in-situ laser flash photolysis and validation of synthesized standard sample.,The Science of the total environment,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/36403842/
36306966,2023,Ultra-short chain fluorocarboxylates exhibit wide ranging reactivity with hydrated electrons.,Chemosphere,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/36306966/
35652751,2023,Formation of Stilbene Azo-Dimer by Direct Irradiation of p-Azidostilbene†.,Photochemistry and photobiology,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/35652751/
36697894,2022,Spectroscopic characterization of two peroxyl radicals during the O2-oxidation of the methylthio radical.,Communications chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/36697894/
36615951,2022,Raman Spectroscopy and Thermoelectric Characterization of Composite Thin Films of Cu2ZnSnS4 Nanocrystals Embedded in a Conductive Polymer PEDOT:PSS.,"Nanomaterials (Basel, Switzerland)",no radiation signal + off-topic term: thin film,https://pubmed.ncbi.nlm.nih.gov/36615951/
36369691,2022,"Efficient degradation of alkyl imidazole ionic liquids in simulated sunlight irradiated periodate system: Kinetics, reaction mechanisms, and toxicity evolution.",Water research,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/36369691/
36319370,2022,Characteristics of the cylindrical reflex triode driven by a four-stage linear transformer driver.,The Review of scientific instruments,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/36319370/
36301140,2022,Preserving the Phosphoproteome of Clinical Biopsies Using a Quick-Freeze Collection Device.,Biopreservation and biobanking,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/36301140/
36196410,2022,"Treatment-integrated imaging, radiomics, and personalised radiotherapy: the future is at hand.",Reports of practical oncology and radiotherapy : journal of Greatpoland Cancer Center in Poznan and Polish Society of Radiation Oncology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/36196410/
